Station (alphabetical by borough)	2013	2014	2015	2016	2017	2018	2017-2018 Change	2017-2018 Change	2018 Rank	LINE
138 St-Grand    Concourse  	"3,222"	"3,416"	"3,480"	"3,532"	"3,486"	"3,166"	-320	-9.20%	363	5-Apr
149 St-Grand    Concourse   	"14,380"	"14,576"	"14,465"	"14,460"	"14,063"	"13,081"	-982	-7.00%	116	2/4/2005
161 St-Yankee    Stadium   	"26,972"	"27,541"	"27,020"	"26,947"	"26,674"	"26,034"	-640	-2.40%	43	B-D-4
167 St 	"9,904"	"9,793"	"9,923"	"9,972"	"9,466"	"9,398"	-68	-0.70%	167	4
167 St *	"9,374"	"9,906"	"10,166"	"10,439"	"10,223"	"6,342"	"-3,881"	-38.00%	242	B-D
170 St 	"9,525"	"9,403"	"9,507"	"9,514"	"8,910"	"8,140"	-770	-8.60%	187	4
170 St 	"6,563"	"6,988"	"7,101"	"7,225"	"7,089"	"7,913"	824	11.60%	191	B-D
174 St  	"7,339"	"7,599"	"7,619"	"7,690"	"7,466"	"6,751"	-715	-9.60%	228	5-Feb
174-175 Sts  *	"4,885"	"5,301"	"5,312"	"5,519"	"5,475"	"3,221"	"-2,254"	-41.20%	356	B-D
176 St 	"5,905"	"5,914"	"6,160"	"6,378"	"6,232"	"5,807"	-425	-6.80%	259	4
182-183 Sts  	"4,554"	"4,813"	"5,020"	"5,177"	"4,990"	"4,752"	-238	-4.80%	296	B-D
183 St 	"6,360"	"6,356"	"6,372"	"6,443"	"6,271"	"5,754"	-517	-8.20%	262	4
219 St  	"3,483"	"3,544"	"3,529"	"3,423"	"3,439"	"3,335"	-104	-3.00%	350	5-Feb
225 St  	"4,479"	"4,593"	"4,591"	"4,408"	"4,340"	"3,961"	-379	-8.70%	324	5-Feb
231 St 	"8,951"	"9,372"	"9,596"	"9,749"	"9,774"	"10,287"	513	5.20%	154	1
233 St   	"5,473"	"5,701"	"5,632"	"5,438"	"5,138"	"4,864"	-274	-5.30%	291	5-Feb
238 St  *	"3,598"	"3,934"	"4,068"	"4,350"	"4,370"	"3,225"	"-1,145"	-26.20%	354	1
3 Av-138 St 	"7,667"	"7,951"	"7,994"	"8,008"	"8,114"	"7,801"	-313	-3.90%	192	6
3 Av-149 St   	"24,001"	"25,161"	"24,813"	"24,808"	"24,228"	"22,357"	"-1,871"	-7.70%	58	5-Feb
Allerton Av   	"5,526"	"5,737"	"5,779"	"5,530"	"5,403"	"5,144"	-259	-4.80%	283	5-Feb
Baychester Av 	"4,177"	"4,196"	"4,090"	"4,064"	"3,846"	"3,551"	-295	-7.70%	340	5
Bedford Park    Blvd  	"6,303"	"6,645"	"7,046"	"7,236"	"7,066"	"6,419"	-647	-9.20%	237	B-D
Bedford Park    Blvd-Lehman College 	"6,201"	"6,089"	"6,040"	"5,912"	"5,649"	"5,170"	-479	-8.50%	282	4
Bronx Park    East  	"2,959"	"3,005"	"2,868"	"2,785"	"2,676"	"2,498"	-178	-6.70%	382	5-Feb
Brook Av 	"6,186"	"6,312"	"6,244"	"6,226"	"6,118"	"6,040"	-78	-1.30%	252	6
Buhre Av *	"3,718"	"2,155"	"2,237"	"3,568"	"3,701"	"3,744"	43	1.20%	332	6
Burke Av  	"3,612"	"3,672"	"3,644"	"3,550"	"3,466"	"3,234"	-232	-6.70%	352	5-Feb
Burnside Av 	"11,560"	"11,538"	"11,551"	"11,479"	"11,079"	"10,231"	-848	-7.70%	156	4
Castle Hill Av *	"5,632"	"4,938"	"7,174"	"6,895"	"6,756"	"6,483"	-273	-4.00%	234	6
Cypress Av 	"3,842"	"3,984"	"3,974"	"4,099"	"3,972"	"3,651"	-321	-8.10%	336	6
East 143    St-St Mary's St 	911	927	989	1043	953	1019	66	6.90%	416	6
East 149 St 	"4,580"	"4,619"	"4,647"	"4,861"	"4,899"	"4,842"	-57	-1.20%	292	6
East 180 St  	"7,003"	"7,489"	"7,587"	"7,697"	"7,691"	"7,175"	-516	-6.70%	213	5-Feb
Eastchester-Dyre    Av 	"4,948"	"4,948"	"4,845"	"4,769"	"4,647"	"4,506"	-141	-3.00%	309	5
Elder Av	"6,377"	"6,496"	"6,543"	"6,642"	"6,605"	"6,323"	-282	-4.30%	243	6
Fordham Rd 	"12,558"	"12,231"	"11,982"	"11,957"	"11,503"	"10,395"	"-1,108"	-9.60%	153	4
Fordham Rd  	"11,878"	"12,363"	"12,145"	"12,208"	"12,054"	"11,361"	-693	-5.70%	134	B-D
Freeman St  	"4,762"	"4,867"	"4,899"	"5,055"	"4,984"	"4,451"	-533	-10.70%	313	5-Feb
Gun Hill Rd  	"7,339"	"7,752"	"7,790"	"7,714"	"7,639"	"6,930"	-709	-9.30%	223	5-Feb
Gun Hill Rd 	"6,002"	"6,038"	"5,880"	"5,886"	"5,654"	"5,362"	-292	-5.20%	274	5
Hunts Point    Av 	"10,144"	"10,111"	"10,484"	"10,651"	"10,646"	"10,460"	-186	-1.70%	150	6
Intervale Av  	"3,420"	"3,571"	"3,472"	"3,423"	"3,377"	"3,130"	-247	-7.30%	364	5-Feb
Jackson Av  	"5,432"	"5,631"	"5,705"	"5,752"	"5,766"	"5,288"	-478	-8.30%	278	5-Feb
Kingsbridge    Rd 	"10,431"	"10,231"	"10,107"	"9,998"	"9,783"	"8,992"	-791	-8.10%	171	4
Kingsbridge    Rd   	"7,422"	"7,975"	"8,006"	"8,144"	"8,237"	"7,922"	-315	-3.80%	190	B-D
Longwood Av 	"3,494"	"3,531"	"3,482"	"3,517"	"3,518"	"3,395"	-123	-3.50%	346	6
Middletown Rd *	"1,514"	"2,273"	"2,726"	"2,066"	"2,102"	"2,036"	-66	-3.10%	395	6
Morris Park 	"2,210"	"2,253"	"2,319"	"2,487"	"2,527"	"2,417"	-110	-4.40%	385	5
Morrison    Av-Soundview 	"6,588"	"6,669"	"6,628"	"6,755"	"6,742"	"6,361"	-381	-5.70%	239	6
Mosholu Pkwy 	"9,588"	"9,459"	"9,252"	"9,135"	"8,770"	"8,195"	-575	-6.60%	185	4
Mt Eden Av  	"5,995"	"5,891"	"5,817"	"5,770"	"5,512"	"5,337"	-175	-3.20%	276	4
Nereid Av  	"3,878"	"3,850"	"3,817"	"3,753"	"3,631"	"3,437"	-194	-5.30%	344	5-Feb
Norwood-205    St 	"8,043"	"8,466"	"8,640"	"8,897"	"8,751"	"8,429"	-322	-3.70%	181	D
Parkchester 	"16,614"	"17,746"	"16,572"	"16,561"	"16,310"	"15,660"	-650	-4.00%	90	6
Pelham Bay    Park 	"6,772"	"7,442"	"7,432"	"7,213"	"7,185"	"7,001"	-184	-2.60%	219	6
Pelham Pkwy  	"9,614"	"9,688"	"9,774"	"9,441"	"9,173"	"8,472"	-701	-7.60%	180	5-Feb
Pelham Pkwy 	"3,254"	"3,304"	"3,303"	"3,332"	"3,237"	"3,083"	-154	-4.80%	367	5
Prospect Av  	"7,424"	"7,857"	"7,908"	"8,004"	"7,704"	"7,038"	-666	-8.60%	217	5-Feb
Simpson St  	"9,672"	"9,948"	"9,981"	"9,680"	"9,446"	"8,477"	-969	-10.30%	178	5-Feb
St Lawrence    Av 	"3,995"	"4,099"	"4,185"	"4,187"	"4,196"	"4,040"	-156	-3.70%	321	6
Tremont Av  	"9,157"	"9,727"	"9,980"	"10,246"	"10,055"	"10,398"	343	3.40%	152	B-D
Van Cortlandt    Park-242 St 	"6,943"	"7,107"	"7,338"	"7,431"	"7,396"	"7,742"	346	4.70%	193	1
Wakefield-241    St*	"4,825"	"5,168"	"5,186"	"5,213"	"5,129"	"4,763"	-366	-7.10%	295	2
West Farms    Sq-East Tremont Av  	"7,979"	"8,170"	"8,010"	"7,848"	"7,657"	"6,866"	-791	-10.30%	226	5-Feb
Westchester    Sq-East Tremont Av 	"6,820"	"7,351"	"6,912"	"6,635"	"6,479"	"6,097"	-382	-5.90%	249	6
Whitlock Av  	"1,685"	"1,707"	"1,737"	"1,830"	"1,905"	"1,894"	-11	-0.60%	399	6
Woodlawn 	"7,776"	"7,683"	"7,637"	"7,623"	"7,260"	"6,937"	-323	-4.40%	222	4
"Zerega Av
*"	"3,253"	"2,012"	"1,647"	"2,629"	"2,664"	"2,629"	-35	-1.30%	379	6
18 Av 	"6,162"	"6,326"	"6,242"	"6,413"	"6,196"	"6,136"	-60	-1.00%	248	D
18 Av 	"4,204"	"4,050"	"4,458"	"4,440"	"4,318"	"3,947"	-371	-8.60%	325	F
18 Av *	"5,092"	"5,491"	"5,502"	"2,266"	"3,107"	"3,097"	-10	-0.30%	366	N
20 Av 	"4,859"	"4,930"	"5,115"	"5,268"	"5,009"	"4,905"	-104	-2.10%	288	D
20 Av*	"4,190"	"4,277"	"4,223"	"1,348"	"2,139"	"3,514"	"1,375"	64.30%	341	N
25 Av 	"4,607"	"4,761"	"4,886"	"6,507"	"5,790"	"5,083"	-707	-12.20%	284	D
25 St 	"3,821"	"3,959"	"3,847"	"3,788"	"4,547"	"3,755"	-792	-17.40%	331	R
36 St   	"12,059"	"12,497"	"12,810"	"13,180"	"13,894"	"13,493"	-401	-2.90%	111	D-N-R
4 Av  /9    St 	"13,156"	"12,835"	"13,126"	"13,116"	"13,962"	"12,560"	"-1,402"	-10.00%	123	F-G-R
45 St 	"6,978"	"7,208"	"7,265"	"7,055"	"7,877"	"7,205"	-672	-8.50%	209	R
50 St 	"3,308"	"3,289"	"3,220"	"3,336"	"3,236"	"3,195"	-41	-1.30%	359	D
53 St  *	"7,479"	"7,512"	"7,458"	"7,386"	"3,788"	"7,565"	"3,777"	99.70%	200	R
55 St 	"1,964"	"1,981"	"2,002"	"2,223"	"2,106"	"2,185"	79	3.80%	388	D
59 St  	"12,506"	"12,871"	"13,048"	"13,144"	"16,759"	"12,301"	"-4,458"	-26.60%	126	N-R
7 Av   	"9,389"	"9,495"	"9,641"	"9,731"	"10,270"	"10,210"	-60	-0.60%	157	B-Q
7 Av  	"12,268"	"12,242"	"12,049"	"11,897"	"11,801"	"11,636"	-165	-1.40%	131	F-G
71 St 	"4,538"	"4,682"	"4,802"	"6,501"	"5,905"	"5,607"	-298	-5.00%	267	D
77 St  	"5,353"	"5,548"	"5,608"	"5,720"	"6,746"	"5,612"	"-1,134"	-16.80%	266	R
79 St 	"6,293"	"6,617"	"6,755"	"6,973"	"6,565"	"6,177"	-388	-5.90%	245	D
8 Av 	"10,873"	"11,341"	"11,430"	"14,201"	"12,514"	"11,474"	"-1,040"	-8.30%	133	N
86 St *	"2,515"	"2,622"	"2,718"	"1,298"	"1,534"	"1,928"	394	25.70%	397	N
86 St 	"11,648"	"11,920"	"11,963"	"12,078"	"11,742"	"11,338"	-404	-3.40%	136	R
9 Av 	"5,857"	"6,004"	"5,856"	"5,867"	"5,471"	"5,344"	-127	-2.30%	275	D
Alabama Av 	"2,443"	"2,448"	"2,520"	"2,585"	"2,424"	"2,147"	-277	-11.40%	389	J
Atlantic Av *	"1,580"	"1,725"	"1,384"	"1,455"	"1,821"	"1,842"	21	1.20%	400	L
Atlantic Av-Barclays  Ctr 	"39,871"	"41,645"	"42,231"	"42,711"	"42,095"	"43,211"	"1,116"	2.70%	19	B-D-N-Q-R-2-3-4-5
Avenue H 	"2,861"	"2,961"	"2,994"	"3,183"	"3,329"	"3,418"	89	2.70%	345	Q
Avenue I *	"2,283"	"2,250"	"2,235"	"1,962"	"1,111"	"1,096"	-15	-1.40%	414	F
Avenue J 	"6,036"	"6,060"	"6,009"	"6,136"	"6,154"	"6,058"	-96	-1.60%	250	Q
Avenue M 	"5,836"	"5,903"	"5,869"	"6,052"	"6,094"	"6,001"	-93	-1.50%	255	Q
Avenue N *	"3,411"	"3,419"	"3,410"	"3,187"	"2,217"	"2,087"	-130	-5.90%	392	F
Avenue P *	"2,757"	"2,767"	"2,804"	"2,688"	"1,821"	"1,710"	-111	-6.10%	408	F
Avenue U *	"3,738"	"3,857"	"3,894"	"1,399"	"2,285"	"2,627"	342	15.00%	380	N
Avenue U 	"6,821"	"6,922"	"6,975"	"7,384"	"7,391"	"7,323"	-68	-0.90%	203	Q
Avenue X *	"2,972"	"2,859"	"1,928"	"2,424"	"2,508"	"2,662"	154	6.10%	378	F
Bay 50 St 	"2,793"	"2,875"	"2,872"	"3,176"	"2,926"	"2,674"	-252	-8.60%	377	D
Bay Pkwy 	"7,111"	"7,322"	"7,501"	"8,069"	"7,837"	"7,719"	-118	-1.50%	194	D
Bay Pkwy *	"1,575"	"1,516"	"1,491"	"1,329"	729	623	-106	-14.50%	421	F
Bay Pkwy 	"6,990"	"7,301"	"7,164"	"10,955"	"9,328"	"7,261"	"-2,067"	-22.20%	206	N
Bay Ridge Av *	"8,079"	"8,283"	"8,379"	"8,415"	"4,173"	"7,236"	"3,063"	73.40%	208	R
